gtin_upc,ingredients,description,brand_owner,brand_name,subbrand_name,branded_food_category
34000252183,"MILK CHOCOLATE (SUGAR, COCOA BUTTER, CHOCOLATE, SKIM MILK, MILK FAT, LACTOSE, LECITHIN (SOY), PGPR), PEANUTS, HIGH FRUCTOSE CORN SYRUP, SUGAR, DEXTROSE, SKIM MILK, CONTAINS 2% OR LESS OF: SORBITOL, DAIRY BUTTER (MILK), HYDROGENATED COCONUT OIL, GLYCERIN, SALT, NATURAL FLAVOR, MONO- AND DIGLYCERIDES, MOLASSES, BAKING SODA, LECITHIN (SOY), TBHQ & CITRIC ACID (TO MAINTAIN FRESHNESS), DISODIUM PHOSPHATE.","MILK CHOCOLATE WITH PEANUT BUTTER & CARAMEL BIG CUP, MILK CHOCOLATE WITH PEANUT BUTTER & CARAMEL",The Hershey Company,REESE'S,,Candy
732153028609,"WILD CAUGHT SALMON, COCONUT OIL, MAPLE SUGAR, SEA SALT, DILL, ONION POWDER, GARLIC POWDER.","MAPLE GLAZED & SMOKED TENDER SALMON BITES, MAPLE GLAZED & SMOKED","General Mills, Inc.",EPIC,,Other Snacks
34000404063,"SUGAR, WHEAT FLOUR, COCOA BUTTER, CHOCOLATE LACTOSE (MILK), VEGETABLE OIL (PALM OIL, PALM KERNEL OIL) SKIM MILK, MILK FAT, CONTAINS 2% OR LESS OF: LECITHIN (SOY), PGPR, VANILLIN (ARTIFICIAL FLAVOR), SALT, YEAST, BAKING SODA.","CRISP WAFER IN MILK CHOCOLATE, CRISP WAFER",The Hershey Company,KIT KAT,,Cookies & Biscuits
34000404070,MILK CHOCOLATE [SUGAR; MILK; CHOCOLATE; COCOA BUTTER; MILK FAT; LECITHIN (SOY); PGPR; NATURAL FLAVOR].,"MILK CHOCOLATE CANDY, MILK CHOCOLATE",The Hershey Company,HERSHEY'S,,Chocolate
34000432752,"CORN SYRUP, ENRICHED WHEAT FLOUR (FLOUR, NIACIN, FERROUS SULFATE, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUGAR, CORNSTARCH, CONTAINS 2% OR LESS OF: PALM OIL, NATURAL & ARTIFICIAL FLAVOR, SALT, CITRIC ACID, MINERAL OIL, ARTIFICIAL COLOR (RED 40, BLUE 1), LECITHIN (SOY).","WILD BERRY FLAVORED CANDY, WILD BERRY",The Hershey Company,TWIZZLERS,,Candy
34000564538,"CORN SYRUP, ENRICHED WHEAT FLOUR (FLOUR, NIACIN, FERROUS SULFATE, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUGAR, CONTAINS 2% OR LESS OF: PALM OIL, GLYCERYL MONOSTEARATE, SALT, CORNSTARCH, GLYCERIN, NATURAL & ARTIFICIAL FLAVOR, CITRIC ACID, MINERAL OIL, ARTIFICIAL COLOR (RED 40), CARNAUBA WAX.","CHERRY TWISTS CANDY, CHERRY",The Hershey Company,TWIZZLERS,,Candy
34000702961,"XYLITOL, GUM BASE, MALTITOL SYRUP, MANNITOL, CONTAINS 2% OR LESS OF: NATURAL & ARTIFICIAL FLAVOR, GUM ACACIA, MALTODEXTRIN, MALIC ACID, CITRIC ACID, ARTIFICIAL COLOR (INCLUDING RED 40, YELLOW 5, YELLOW 6), LECITHIN (SOY), ASPARTAME*, GELATIN, ACESULFAME POTASSIUM, BHT (TO MAINTAIN FRESHNESS), NEOTAME, SORBITOL, SUCRALOSE.","FRUIT PUNCH ICE CUBES SUGAR FREE GUM, FRUIT PUNCH",The Hershey Company,ICE BREAKERS,,Chewing Gum & Mints
3405204,"SUGAR, PEANUTS, CORN SYRUP, MILK CHOCOLATE (SUGAR, COCOA BUTTER, CHOCOLATE, SKIM MILK, MILK FAT, LACTOSE, LECITHIN (SOY), PGPR), VEGETABLE OIL (PALM OIL, SHEA OIL, SUNFLOWER OIL, PALM KERNEL OIL, &/OR SAFFLOWER OIL), DEXTROSE, CONTAINS 2% OR LESS OF: LACTOSE (MILK), HIGH FRUCTOSE CORN SYRUP, SKIM MILK, COCOA PROCESSED WITH ALKALI, REDUCED PROTEIN WHEY (MILK), SALT, CHOCOLATE, HYDROGENATED VEGETABLE OIL (PALM KERNEL OIL, PALM OIL), COCOA, HYDROLYZED SOY PROTEIN, LECITHIN (SOY), HYDROLYZED MILK PROTEIN, GLYCERIN, TBHQ & CITRIC ACID (TO MAINTAIN FRESHNESS), VANILLIN (ARTIFICIAL FLAVOR).","MILK CHOCOLATE, PEANUT BUTTER & NOUGAT FAST BREAK BAR, MILK CHOCOLATE, PEANUT BUTTER & NOUGAT",The Hershey Company,REESE'S,,Chocolate
46000135816,"GREEN CHILE PEPPERS, SALT, CITRIC ACID, CALCIUM CHLORIDE.","MILD GREEN CHOPPED CHILES, MILD GREEN","General Mills, Inc.",OLD EL PASO,,Canned Vegetables
46000135359,"DOUGH: ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, CANOLA OIL, CORNMEAL, VEGETABLE SHORTENING (PALM OIL AND CANOLA OIL), ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, IRON, THIAMINE, RIBOFLAVIN, FOLIC ACID), DEXTROSE, MODIFIED CORN STARCH, SALT, CORN STARCH, MILK, TAPIOCA DEXTRIN, YEAST, LEAVENING (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE), SOY PROTEIN, SOY LECITHIN, CARAMEL COLOR, MODIFIED CELLULOSE, TURMERIC, ANNATTO COLOR, EXTRACTIVES OF PAPRIKA. FILLING: COOKED CHICKEN WHITE MEAT, MILK, CHEDDAR CHEESE (MILK, SALT, CALCIUM CHLORIDE, BACTERIAL CULTURES, MICROBIAL ENZYME, ANNATTO [COLOR]), RED AND GREEN BELL PEPPERS, JALAPENO PEPPER (JALAPENO PEPPERS, VINEGAR, SALT, NATURAL FLAVORS), ONION, MODIFIED CORN STARCH, CORN STARCH, GREEN ONION, CANOLA OIL, SALT, SPICES, GARLIC, ONION POWDER, MODIFIED CELLULOSE, SOY LECITHIN, SEASONING (YEAST EXTRACT, SALT, NATURAL FLAVOR), PAPRIKA, CELLULOSE, PAPRIKA EXTRACT (EXTRACTIVES OF PAPRIKA, SUNFLOWER LECITHIN, DATEM, CANOLA OIL, ASCORBIC ACID, ROSEMARY EXTRACT, MIXED TOCOPHEROLS).","CHICKEN & CHEESE TACO BITES, CHICKEN & CHEESE","General Mills, Inc.",OLD EL PASO,,Frozen Appetizers & Hors D'oeuvres
46000130545,"CHILI PEPPER, CORN STARCH, SALT, MALTODEXTRIN, SPICE, SEA SALT (POTASSIUM MAGNESIUM CHLORIDE, SALT). CONTAINS 2% OR LESS OF: ONION*, VEGETABLE OIL (HIGH OLEIC CANOLA AND/OR SOYBEAN OIL), CITRIC ACID, NATURAL FLAVOR, GARLIC*, SILICON DIOXIDE (ANTICAKING AGENT).","ORIGINAL TACO SEASONING MIX, ORIGINAL TACO","General Mills, Inc.",OLD EL PASO,,"Seasoning Mixes, Salts, Marinades & Tenderizers"
50000314539,"NONFAT MILK, SUGAR, HEAVY CREAM, BUTTERMILK, VEGETABLE OIL (HIGH OLEIC SOYBEAN OIL), NATURAL FLAVOR, GELLAN GUM.","PUMPKIN SPICE LATTE COFFEE CREAMER, PUMPKIN SPICE LATTE",Nestle USA Inc.,STARBUCKS,,Milk Additives
50000107117,"NONFAT MILK, SUGAR, HEAVY CREAM, BUTTERMILK, VEGETABLE OIL (HIGH OLEIC SOYBEAN OIL), NATURAL FLAVOR, GELLAN GUM.","WHITE CHOCOLATE COFFEE CREAMER, WHITE CHOCOLATE",Nestle USA Inc.,STARBUCKS,,Milk Additives
34000711543,"SUGAR, GUM BASE, CORN SYRUP, ARTIFICIAL FLAVOR, LECITHIN (SOY), ARTIFICIAL COLOR (BLUE 1 LAKE), BHT (TO MAINTAIN FRESHNESS).","COTTON CANDY GUM, COTTON CANDY",The Hershey Company,BUBBLE YUM,,Chewing Gum & Mints
16000303348,"ALMONDS, ERYTHRITOL, CHICORY ROOT FIBER, UNSWEETENED CHOCOLATE, BUTTER (CREAM), PECANS, EGGS, CHIA SEED, COCONUT OIL, WATER, SEA SALT, BAKING SODA, STEVIA EXTRACT, NATURAL FLAVOR.","CHOCOLATE CHUNK SOFT BAKE COOKIE, CHOCOLATE CHUNK","General Mills, Inc.",RATIO,,Cookies & Biscuits
16000168565,"WHOLE GRAIN OATS, CORN SYRUP, WHOLE GRAIN CORN, FRUCTOSE, WHOLE WHEAT FLOUR, WHOLE GRAIN RICE, CHICORY ROOT EXTRACT, VEGETABLE GLYCERIN, MALTODEXTRIN, SUGAR. CONTAINS 2% OR LESS OF: CALCIUM CARBONATE, WHEAT STARCH, CANOLA OIL, CORN STARCH, BROWN SUGAR SYRUP, SOY LECITHIN, SALT, BAKING SODA, NATURAL FLAVOR, COLOR (CARAMEL COLOR, ANNATTO EXTRACT), TRIPOTASSIUM PHOSPHATE, IRON AND ZINC (MINERAL NUTRIENTS), A B VITAMIN (NIACINAMIDE), VITAMIN C (SODIUM ASCORBATE), A B VITAMIN (CALCIUM PANTOTHENATE), VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE), VITAMIN B2 (RIBOFLAVIN), VITAMIN B1 (THIAMIN MONONITRATE), A B VITAMIN |(FOLIC ACID), VITAMIN B12 (CYANOCOBALAMIN), VITAMIN A (PALMITATE), VITAMIN D(CHOLECALCIFEROL), VITAMIN E (MIXED TOCOPHEROLS) ADDED TO PRESERVE FRESHNESS.","PEACH CEREAL BAR, PEACH","General Mills, Inc.",CHEERIOS,,"Snack, Energy & Granola Bars"
16000189096,"DEGERMED YELLOW CORN MEAL, VEGETABLE OIL (COCONUT, PALM, AND/OR PALM KERNEL), SUGAR. CONTAINS 2 % OR LESS OF: DRIED BUTTERMILK, SALT, MALTODEXTRIN, MONOGLYCERIDES, BAKING SODA, DEXTROSE, MONOSODIUM GLUTAMATE, CITRIC ACID, ONION POWDER, PARSLEY, MODIFIED CORN STARCH, DISODIUM GUANYLATE AND INOSINATE, NATURAL AND ARTIFICIAL FLAVOR. FRESHNESS PRESERVED BY BHT.","HIDDEN VALLEY RANCH CRISPY CORN SNACKS, HIDDEN VALLEY RANCH","General Mills, Inc.",BUGLES,,"Chips, Pretzels & Snacks"
16000193192,"ALMONDS, ORGANIC MAPLE SYRUP, PECANS, DARK CHOCOLATE PIECES (CHOCOLATE LIQUOR, COCONUT SUGAR, COCOA BUTTER, SUNFLOWER LECITHIN), COCONUT OIL, SUNFLOWER SEEDS, COCONUT, COCONUT PALM SUGAR, COCOA PROCESSED WITH ALKALI, SALT, VANILLA EXTRACT.","DARK CHOCOLATE ALMOND GRAIN FREE GRANOLA, DARK CHOCOLATE ALMOND","General Mills, Inc.",AUTUMN'S GOLD,,Cereal
